Maquina,Start,End,Producto,Demanda,task_mode,paso,delta,Activity
MAQ120,263,266,PRINTED RIBBON,9,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|9|Sublimation TM3|0
MAQ119,263,271,ESTORE RIBBON,4,Ironing TM3,0,8,MAQ119|ESTORE RIBBON|4|Ironing TM3|0
MAQ118,266,277,ESTORE RIBBON,1,Ironing TM4,0,11,MAQ118|ESTORE RIBBON|1|Ironing TM4|0
MAQ120,269,277,ESTORE RIBBON,4,Ironing TM1,1,8,MAQ120|ESTORE RIBBON|4|Ironing TM1|1
MAQ119,272,287,WOVEN LABEL OURELA CUT,1,Harden[1] TM1,5,15,MAQ119|WOVEN LABEL OURELA CUT|1|Harden[1] TM1|5
MAQ120,279,282,PRINTED RIBBON,11,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|11|Sublimation TM3|0
MAQ118,279,290,ELASTIC W/ INSCR,2,Ironing TM4,0,11,MAQ118|ELASTIC W/ INSCR|2|Ironing TM4|0
MAQ120,283,289,ELASTIC W/ INSCR,0,Anti-Shrinkage TM2,1,6,MAQ120|ELASTIC W/ INSCR|0|Anti-Shrinkage TM2|1
MAQ119,288,296,SMOOTH STRAP(A),2,Ironing TM3,0,8,MAQ119|SMOOTH STRAP(A)|2|Ironing TM3|0
MAQ120,291,299,GORGORÃO RIBBON,12,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON|12|Ironing TM1|0
MAQ118,292,306,WOVEN LABEL OURELA CUT,1,Harden[1.5] TM3,6,14,MAQ118|WOVEN LABEL OURELA CUT|1|Harden[1.5] TM3|6
MAQ119,297,305,ESTORE RIBBON,4,Ironing TM3,2,8,MAQ119|ESTORE RIBBON|4|Ironing TM3|2
MAQ120,301,307,ELASTIC W/ INSCR,0,Anti-Shrinkage TM2,2,6,MAQ120|ELASTIC W/ INSCR|0|Anti-Shrinkage TM2|2
MAQ119,306,314,SMOOTH STRAP(A),3,Ironing TM3,0,8,MAQ119|SMOOTH STRAP(A)|3|Ironing TM3|0
MAQ118,307,315,WOVEN LABEL OURELA FABRIC,6,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|6|Harden[1] TM5|2
MAQ120,308,314,PRINTED RIBBON,11,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|11|Anti-Shrinkage TM2|1
MAQ120,315,323,ESTORE RIBBON,2,Ironing TM1,2,8,MAQ120|ESTORE RIBBON|2|Ironing TM1|2
MAQ119,315,330,STRAP W/ STRIPES,5,Harden[1] TM1,0,15,MAQ119|STRAP W/ STRIPES|5|Harden[1] TM1|0
MAQ118,316,324,STRAP W/ STRIPES,0,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|0|Harden[1] TM5|1
MAQ120,324,330,BRAIDED ELASTIC,3,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|3|Anti-Shrinkage TM2|0
MAQ118,328,339,ESTORE RIBBON,1,Ironing TM4,1,11,MAQ118|ESTORE RIBBON|1|Ironing TM4|1
MAQ119,332,347,STRAP W/ STRIPES,7,Harden[1] TM1,0,15,MAQ119|STRAP W/ STRIPES|7|Harden[1] TM1|0
MAQ120,333,339,BRAIDED ELASTIC,11,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|11|Anti-Shrinkage TM2|0
MAQ120,340,348,WOVEN LABEL OURELA FABRIC,4,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|4|Ironing TM1|0
MAQ118,344,366,ROK ELASTIC,0,Harden[2] TM1,0,22,MAQ118|ROK ELASTIC|0|Harden[2] TM1|0
MAQ120,349,352,PRINTED RIBBON,19,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|19|Sublimation TM3|0
MAQ119,349,357,ESTORE RIBBON,0,Ironing TM3,2,8,MAQ119|ESTORE RIBBON|0|Ironing TM3|2
MAQ120,354,362,WOVEN LABEL OURELA CUT,3,Ironing TM1,1,8,MAQ120|WOVEN LABEL OURELA CUT|3|Ironing TM1|1
MAQ119,358,369,ELASTIC W/ INSCR,0,Harden[0.5] TM1,3,11,MAQ119|ELASTIC W/ INSCR|0|Harden[0.5] TM1|3
MAQ120,364,370,ELASTIC W/ INSCR,2,Anti-Shrinkage TM2,1,6,MAQ120|ELASTIC W/ INSCR|2|Anti-Shrinkage TM2|1
MAQ118,367,378,ESTORE RIBBON,3,Ironing TM4,0,11,MAQ118|ESTORE RIBBON|3|Ironing TM4|0
MAQ119,370,378,WOVEN LABEL OURELA FABRIC,2,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA FABRIC|2|Ironing TM3|0
MAQ120,371,379,WOVEN LABEL OURELA CUT,3,Ironing TM1,2,8,MAQ120|WOVEN LABEL OURELA CUT|3|Ironing TM1|2
MAQ118,379,383,WOVEN LABEL OURELA FABRIC,6,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|6|Harden[0.5] TM4|3
MAQ120,380,383,PRINTED RIBBON  PES,8,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON  PES|8|Sublimation TM3|0
MAQ119,385,409,ROK ELASTIC,0,Harden[1.5] TM1,1,24,MAQ119|ROK ELASTIC|0|Harden[1.5] TM1|1
MAQ118,385,393,WOVEN LABEL OURELA FABRIC,8,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|8|Harden[1] TM5|1
MAQ120,387,393,ELASTIC W/ INSCR,2,Anti-Shrinkage TM2,2,6,MAQ120|ELASTIC W/ INSCR|2|Anti-Shrinkage TM2|2
MAQ118,394,402,STRAP W/ STRIPES,6,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|6|Harden[1] TM5|0
MAQ120,395,403,WOVEN LABEL OURELA CUT,4,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA CUT|4|Ironing TM1|0
MAQ118,403,411,WOVEN LABEL OURELA FABRIC,2,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|2|Harden[1] TM5|1
MAQ120,404,410,BRAIDED ELASTIC,7,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|7|Anti-Shrinkage TM2|0
MAQ119,410,425,WOVEN LABEL OURELA CUT,2,Harden[1] TM1,4,15,MAQ119|WOVEN LABEL OURELA CUT|2|Harden[1] TM1|4
MAQ120,411,417,STRAP W/ STRIPES,0,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|0|Anti-Shrinkage TM2|2
MAQ118,413,417,WOVEN LABEL OURELA CUT,3,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|3|Harden[0.5] TM4|3
MAQ118,418,426,WOVEN LABEL OURELA FABRIC,1,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|1|Harden[1] TM5|1
MAQ120,421,427,BRAIDED ELASTIC,2,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|2|Anti-Shrinkage TM2|0
MAQ119,427,442,TAFFETA EMBLEM,4,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|4|Harden[1] TM1|0
MAQ118,427,435,STRAP W/ STRIPES,1,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|1|Harden[1] TM5|0
MAQ120,428,434,PRINTED RIBBON,12,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|12|Anti-Shrinkage TM2|1
MAQ120,435,443,ESTORE RIBBON,1,Ironing TM1,2,8,MAQ120|ESTORE RIBBON|1|Ironing TM1|2
MAQ118,436,444,WOVEN LABEL OURELA FABRIC,5,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|5|Harden[1] TM5|1
MAQ119,443,458,STRAP W/ STRIPES,2,Harden[1] TM1,0,15,MAQ119|STRAP W/ STRIPES|2|Harden[1] TM1|0
MAQ120,444,452,WOVEN LABEL OURELA FABRIC,9,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|9|Ironing TM1|0
MAQ118,445,453,WOVEN LABEL OURELA FABRIC,9,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|9|Harden[1] TM5|1
MAQ120,453,461,WOVEN LABEL OURELA FABRIC,7,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|7|Ironing TM1|0
MAQ118,454,462,STRAP W/ STRIPES,3,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|3|Harden[1] TM5|1
MAQ119,459,474,STRAP W/ STRIPES,2,Harden[1] TM1,1,15,MAQ119|STRAP W/ STRIPES|2|Harden[1] TM1|1
MAQ120,462,470,WOVEN LABEL OURELA CUT,4,Ironing TM1,1,8,MAQ120|WOVEN LABEL OURELA CUT|4|Ironing TM1|1
MAQ118,463,471,STRAP W/ STRIPES,5,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|5|Harden[1] TM5|1
MAQ120,472,480,WOVEN LABEL OURELA FABRIC,10,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|10|Ironing TM1|0
MAQ118,473,481,WOVEN LABEL OURELA CUT,2,Harden[1] TM5,5,8,MAQ118|WOVEN LABEL OURELA CUT|2|Harden[1] TM5|5
MAQ119,475,490,TAFFETA EMBLEM,6,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|6|Harden[1] TM1|0
MAQ118,482,490,WOVEN LABEL OURELA FABRIC,2,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|2|Harden[1] TM5|2
MAQ120,487,495,ESTORE RIBBON,5,Ironing TM1,1,8,MAQ120|ESTORE RIBBON|5|Ironing TM1|1
MAQ118,491,502,ESTORE RIBBON,3,Ironing TM4,1,11,MAQ118|ESTORE RIBBON|3|Ironing TM4|1
MAQ119,492,503,ELASTIC W/ INSCR,2,Harden[0.5] TM1,3,11,MAQ119|ELASTIC W/ INSCR|2|Harden[0.5] TM1|3
MAQ120,498,504,STRAP W/ STRIPES,2,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|2|Anti-Shrinkage TM2|2
MAQ119,504,528,WOVEN LABEL OURELA CUT,2,Harden[1.5] TM1,6,24,MAQ119|WOVEN LABEL OURELA CUT|2|Harden[1.5] TM1|6
MAQ118,504,512,TAFFETA EMBLEM,1,Harden[1] TM5,0,8,MAQ118|TAFFETA EMBLEM|1|Harden[1] TM5|0
MAQ120,505,513,WOVEN LABEL OURELA FABRIC,11,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|11|Ironing TM1|0
MAQ118,513,521,WOVEN LABEL OURELA FABRIC,5,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|5|Harden[1] TM5|2
MAQ120,515,521,BRAIDED ELASTIC,4,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|4|Anti-Shrinkage TM2|0
MAQ118,522,530,WOVEN LABEL OURELA FABRIC,8,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|8|Harden[1] TM5|2
MAQ120,523,531,ESTORE RIBBON,3,Ironing TM1,2,8,MAQ120|ESTORE RIBBON|3|Ironing TM1|2
MAQ119,530,545,TAFFETA EMBLEM,9,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|9|Harden[1] TM1|0
MAQ118,531,535,WOVEN LABEL OURELA CUT,0,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|0|Harden[0.5] TM4|3
MAQ120,534,537,PRINTED RIBBON  PES,5,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON  PES|5|Sublimation TM3|0
MAQ118,536,544,STRAP W/ STRIPES,1,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|1|Harden[1] TM5|1
MAQ120,538,544,STRAP W/ STRIPES,1,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|1|Anti-Shrinkage TM2|2
MAQ119,546,561,TAFFETA EMBLEM,8,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|8|Harden[1] TM1|0
MAQ120,546,552,PRINTED RIBBON,14,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|14|Anti-Shrinkage TM2|1
MAQ118,546,554,STRAP W/ STRIPES,4,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|4|Harden[1] TM5|0
MAQ120,553,559,BRAIDED ELASTIC,10,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|10|Anti-Shrinkage TM2|0
MAQ118,555,563,WOVEN LABEL OURELA CUT,3,Harden[1] TM5,4,8,MAQ118|WOVEN LABEL OURELA CUT|3|Harden[1] TM5|4
MAQ120,560,568,WOVEN LABEL OURELA CUT,4,Ironing TM1,2,8,MAQ120|WOVEN LABEL OURELA CUT|4|Ironing TM1|2
MAQ119,564,575,WOVEN LABEL OURELA FABRIC,5,Harden[0.5] TM1,3,11,MAQ119|WOVEN LABEL OURELA FABRIC|5|Harden[0.5] TM1|3
MAQ118,564,572,WOVEN LABEL OURELA CUT,3,Harden[1] TM5,5,8,MAQ118|WOVEN LABEL OURELA CUT|3|Harden[1] TM5|5
MAQ120,569,572,PRINTED RIBBON  PES,6,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON  PES|6|Sublimation TM3|0
MAQ120,573,576,PRINTED RIBBON,2,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|2|Sublimation TM3|0
MAQ118,577,581,WOVEN LABEL OURELA FABRIC,2,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|2|Harden[0.5] TM4|3
MAQ119,578,593,WOVEN LABEL OURELA FABRIC,0,Harden[1] TM1,1,15,MAQ119|WOVEN LABEL OURELA FABRIC|0|Harden[1] TM1|1
MAQ120,578,581,PRINTED RIBBON,25,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|25|Sublimation TM3|0
MAQ120,582,585,PRINTED RIBBON,3,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|3|Sublimation TM3|0
MAQ118,582,593,ESTORE RIBBON,5,Ironing TM4,2,11,MAQ118|ESTORE RIBBON|5|Ironing TM4|2
MAQ120,586,592,STRAP W/ STRIPES,3,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|3|Anti-Shrinkage TM2|2
MAQ119,594,609,WOVEN LABEL OURELA FABRIC,9,Harden[1] TM1,2,15,MAQ119|WOVEN LABEL OURELA FABRIC|9|Harden[1] TM1|2
MAQ120,595,601,BRAIDED ELASTIC,9,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|9|Anti-Shrinkage TM2|0
MAQ118,596,604,WOVEN LABEL OURELA FABRIC,10,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|10|Harden[1] TM5|1
MAQ120,602,608,BRAIDED ELASTIC,5,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|5|Anti-Shrinkage TM2|0
